tweet_id;author_username;tweet_text;author_location;created_at;found_at
2074260466138845458;MattHar1619;@Rusia_HD Yes!;Michigan;2026-07-06T22:33:27.000Z;2026-07-09T14:01:40.528682+00:00
2074260573710176675;tlachtli13;@Rusia_HD Seguro que si;CDMX;2026-07-06T22:33:53.000Z;2026-07-09T14:01:40.528682+00:00
2074260576872640634;Andey70;"@Rusia_HD A visit?
Yes of course!😊😍❣️❤️

I love Putin";Tema, Ghana;2026-07-06T22:33:54.000Z;2026-07-09T14:01:40.528682+00:00
2074260729243291943;SayellMartin;@Rusia_HD Yes;;2026-07-06T22:34:30.000Z;2026-07-09T14:01:40.528682+00:00
2074260881555259861;UxFxLoCOM;@Rusia_HD Ja;Germany, NRW, Rheine Bevergern;2026-07-06T22:35:06.000Z;2026-07-09T14:01:40.528682+00:00
2074260892288450955;TavarezZorrilla;@Rusia_HD Si;;2026-07-06T22:35:09.000Z;2026-07-09T14:01:40.528682+00:00
2074260970982011233;CyrilSaign39944;@Rusia_HD Oui;;2026-07-06T22:35:28.000Z;2026-07-09T14:01:40.528682+00:00
2074261136929661328;MissMalartic;@Rusia_HD Yes, I would love to visit Russia.;;2026-07-06T22:36:07.000Z;2026-07-09T14:01:40.528682+00:00
2074261248846278764;lakerrunner;@Rusia_HD Woow. Quando si parte?;;2026-07-06T22:36:34.000Z;2026-07-09T14:01:40.528682+00:00
2074261304047755563;CrunchyPBJ78;@Rusia_HD Yes;Las Vegas, NV;2026-07-06T22:36:47.000Z;2026-07-09T14:01:40.528682+00:00
2074261307566723184;BrouckeJuanita;@Rusia_HD Oui, mille fois oui;;2026-07-06T22:36:48.000Z;2026-07-09T14:01:40.528682+00:00
2074261561867174354;praisericch;@Rusia_HD Yes because Trump also visited China https://t.co/6ePxTjnJwu;Okpella  Afokpella Edo state;2026-07-06T22:37:48.000Z;2026-07-09T14:01:40.528682+00:00
2074261581874258309;Monark_acenando;@Rusia_HD Sim;Brasil;2026-07-06T22:37:53.000Z;2026-07-09T14:01:40.528682+00:00
2074261602723877168;dandreslopeze;@Rusia_HD Yes I do;;2026-07-06T22:37:58.000Z;2026-07-09T14:01:40.528682+00:00
2074261732642500895;Hillybilly5759;@Rusia_HD Hell yes!!! I want to see sexy Putin!!!!;Appalachian Ohio;2026-07-06T22:38:29.000Z;2026-07-09T14:01:40.528682+00:00
2074261744478716381;RabahSaib8887;@Rusia_HD Yes;;2026-07-06T22:38:32.000Z;2026-07-09T14:01:40.528682+00:00
2074261785608163465;Baasrob1;@Rusia_HD yes;Austin, TX;2026-07-06T22:38:42.000Z;2026-07-09T14:01:40.528682+00:00
2074261845268205662;QasimAakashRaj;@Rusia_HD Yes;;2026-07-06T22:38:56.000Z;2026-07-09T14:01:40.528682+00:00
2074261884161688007;praisericch;@Rusia_HD Yes, because Trump also visited China 🇨🇳 https://t.co/02uLDBr8jI;Okpella  Afokpella Edo state;2026-07-06T22:39:05.000Z;2026-07-09T14:01:40.528682+00:00
2074261905036697780;Bisonesque;@Rusia_HD Have been. I love Moscow. One of the most culturally rich cities in the world. Not to sure about the communists I met there but hey great history great people. https://t.co/Ksy7Cfy3w8;Fulshear, TX;2026-07-06T22:39:10.000Z;2026-07-09T14:01:40.528682+00:00
2074261909344338166;TomjRace;@Rusia_HD Yeah. Probably. Russia seems nice.;;2026-07-06T22:39:11.000Z;2026-07-09T14:01:40.528682+00:00
2074261916306850252;RobertoMolina37;@Rusia_HD Yes, I consider than yes.;Antofagasta, Chile;2026-07-06T22:39:13.000Z;2026-07-09T14:01:40.528682+00:00
2074262030316376328;NicolasB75013;"@Rusia_HD Can I go stand exactly where you are with a 15kt nuke ? 
Then yes.";Paris - France;2026-07-06T22:39:40.000Z;2026-07-09T14:01:40.528682+00:00
2074262213024424345;praisericch;@Rusia_HD Yes , and stop deleting my reply 😤 https://t.co/fl1R52VOsU;Okpella  Afokpella Edo state;2026-07-06T22:40:24.000Z;2026-07-09T14:01:40.528682+00:00
2074262315239625152;RainerDjango;@Rusia_HD @pix_55_peter Yes, of course.;🇩🇪 Dresden;2026-07-06T22:40:48.000Z;2026-07-09T14:01:40.528682+00:00
2074262352535355855;FLORENCENABAKOO;@Rusia_HD Yes;Kaliiti_kitooke ,mende;2026-07-06T22:40:57.000Z;2026-07-09T14:01:40.528682+00:00
2074262382851813459;42f98006e6bb44c;@Rusia_HD Si;;2026-07-06T22:41:04.000Z;2026-07-09T14:01:40.528682+00:00
2074262489190031539;HayesCooper007;@Rusia_HD Yes I would;In the still of the night;2026-07-06T22:41:30.000Z;2026-07-09T14:01:40.528682+00:00
2074262573772406999;precious8l;@Rusia_HD Yes;;2026-07-06T22:41:50.000Z;2026-07-09T14:01:40.528682+00:00
2074262576574202347;OuaibiAhmed;@Rusia_HD Oui tout de suite;;2026-07-06T22:41:50.000Z;2026-07-09T14:01:40.528682+00:00
2074262615077851317;JoeKablan;@Rusia_HD Oui. J'en rêve.;;2026-07-06T22:42:00.000Z;2026-07-09T14:01:40.528682+00:00
2074262710049800250;BasiruCamaykk1;@Rusia_HD Yes;;2026-07-06T22:42:22.000Z;2026-07-09T14:01:40.528682+00:00
2074262724813410568;shongley143100;@Rusia_HD Yes;;2026-07-06T22:42:26.000Z;2026-07-09T14:01:40.528682+00:00
2074262876483711131;Wechti666;@Rusia_HD Ja, sehr gerne.;;2026-07-06T22:43:02.000Z;2026-07-09T14:01:40.528682+00:00
2074262947870945369;ultrainstinto69;@Rusia_HD Por supuesto que si.. aunque me vetaran de otros países;cabo san lucas;2026-07-06T22:43:19.000Z;2026-07-09T14:01:40.528682+00:00
2074263018624704846;Sopian60105214;@Rusia_HD Yes;;2026-07-06T22:43:36.000Z;2026-07-09T14:01:40.528682+00:00
2074263091278430458;BlueCode1905;@Rusia_HD Yes. And I would pay to go to Russia too.;;2026-07-06T22:43:53.000Z;2026-07-09T14:01:40.528682+00:00
2074263129043653084;HctorUrrutia13;@Rusia_HD Yes;;2026-07-06T22:44:02.000Z;2026-07-09T14:01:40.528682+00:00
2074263178863583463;VeritasOptional;@Rusia_HD Yes, absolutely.;;2026-07-06T22:44:14.000Z;2026-07-09T14:01:40.528682+00:00
2074263221775499608;WShakurr;@Rusia_HD Yes;;2026-07-06T22:44:24.000Z;2026-07-09T14:01:40.528682+00:00
2074263296518074496;singland976;@Rusia_HD @barkley_lady Yes;Limerick, Eire;2026-07-06T22:44:42.000Z;2026-07-09T14:01:40.528682+00:00
2074263331414688120;zmigri13;@Rusia_HD Yes;France;2026-07-06T22:44:50.000Z;2026-07-09T14:01:40.528682+00:00
2074263352147140866;FreddyCP6;@Rusia_HD Si si;Sucre-Bolivia;2026-07-06T22:44:55.000Z;2026-07-09T14:01:40.528682+00:00
2074263371235422674;mikado04401;"@Rusia_HD For Sure 100%

I would live there if permitted.";;2026-07-06T22:45:00.000Z;2026-07-09T14:01:40.528682+00:00
2074263483894710704;wyocrypto007;@Rusia_HD Yes;;2026-07-06T22:45:27.000Z;2026-07-09T14:01:40.528682+00:00
2074263629436752313;BaOdehy24288;@Rusia_HD Yes;;2026-07-06T22:46:01.000Z;2026-07-09T14:01:40.528682+00:00
2074263689734004782;EugenioGorski;@Rusia_HD Sim;Caxias do Sul, Brasil;2026-07-06T22:46:16.000Z;2026-07-09T14:01:40.528682+00:00
2074263697745178680;selase_tefeh;@Rusia_HD Yes;;2026-07-06T22:46:18.000Z;2026-07-09T14:01:40.528682+00:00
2074263702376010078;alan_domke;@Rusia_HD Yes;;2026-07-06T22:46:19.000Z;2026-07-09T14:01:40.528682+00:00
2074263730263580994;RojasRE62;@Rusia_HD YES!;;2026-07-06T22:46:25.000Z;2026-07-09T14:01:40.528682+00:00
2074263782684066296;alfred67497;@Rusia_HD Yes.;;2026-07-06T22:46:38.000Z;2026-07-09T14:01:40.528682+00:00
2074263863395275036;nari_abi;@Rusia_HD YES!!!;대한민국;2026-07-06T22:46:57.000Z;2026-07-09T14:01:40.528682+00:00
2074263866528141607;marteenk2;@Rusia_HD Ja;;2026-07-06T22:46:58.000Z;2026-07-09T14:01:40.528682+00:00
2074263899172708793;schafe91600;@Rusia_HD Yes;;2026-07-06T22:47:06.000Z;2026-07-09T14:01:40.528682+00:00
2074263986086797662;Robespierre72;@Rusia_HD Si;Guayas, Ecuador;2026-07-06T22:47:26.000Z;2026-07-09T14:01:40.528682+00:00
2074264050733879533;kondeln;@Rusia_HD I would love to visit Russia. My relatives were born there;Edmonton, Alberta;2026-07-06T22:47:42.000Z;2026-07-09T14:01:40.528682+00:00
2074264162218201460;daw49164_dawson;@Rusia_HD Yeah;Edinburgh, Scotland;2026-07-06T22:48:08.000Z;2026-07-09T14:01:40.528682+00:00
2074264253540774301;mousavi1358;@Rusia_HD Yes;ESFAHAN;2026-07-06T22:48:30.000Z;2026-07-09T14:01:40.528682+00:00
2074264370163351816;Noxishter;@Rusia_HD Yes;;2026-07-06T22:48:58.000Z;2026-07-09T14:01:40.528682+00:00
2074264410382561594;IlokiSg;@Rusia_HD YES ❤️❤️❤️;Ile-de-France, France;2026-07-06T22:49:08.000Z;2026-07-09T14:01:40.528682+00:00
2074264492444209430;JBONZ47763;@Rusia_HD Yes;USA;2026-07-06T22:49:27.000Z;2026-07-09T14:01:40.528682+00:00
2074264535783952492;NikoNikolic2;@Rusia_HD Yes!!!!;;2026-07-06T22:49:37.000Z;2026-07-09T14:01:40.528682+00:00
2074264604020994500;jdirtFOREVER;@Rusia_HD Sure.;#FEMAVI;2026-07-06T22:49:54.000Z;2026-07-09T14:01:40.528682+00:00
2074264673713635509;Alainfradly;@Rusia_HD Yes;;2026-07-06T22:50:10.000Z;2026-07-09T14:01:40.528682+00:00
2074264751908024361;voormijndochter;@Rusia_HD Hell yeah!!!!!;Nederland;2026-07-06T22:50:29.000Z;2026-07-09T14:01:40.528682+00:00
2074264757947744446;TorresYoung888;@Rusia_HD Yes;Spain;2026-07-06T22:50:30.000Z;2026-07-09T14:01:40.528682+00:00
2074264761789993359;schafe91600;@Rusia_HD Yes, with much appreciation for the northern Cossacks, defenders of Christianity.;;2026-07-06T22:50:31.000Z;2026-07-09T14:01:40.528682+00:00
2074264819868250355;kumbis2361;@Rusia_HD Si;;2026-07-06T22:50:45.000Z;2026-07-09T14:01:40.528682+00:00
2074264867264217294;ggarciacg7;@Rusia_HD Si;Masaya, Nicaragua;2026-07-06T22:50:56.000Z;2026-07-09T14:01:40.528682+00:00
